departureAirport,origCountry,arrivalAirport,destCountry,aircraftName,Frequency,departure_latitude,departure_longitude,arrival_latitude,arrival_longitude
TPE,Taiwan,CKG,China,Boeing B747-400F,203,25.0777,121.233,29.7192,106.642
CKG,China,TPE,Taiwan,Boeing B747-400F,203,29.7192,106.642,25.0777,121.233
TPE,Taiwan,XMN,China,Airbus A330-300,203,25.0777,121.233,24.544,118.128
XMN,China,TPE,Taiwan,Airbus A330-300,203,24.544,118.128,25.0777,121.233
ICN,South Korea,DOH,Qatar,Boeing B777-300ER,202,37.4633,126.44,25.2731,51.6081
CSX,China,ICN,South Korea,Airbus A330-200,202,28.1892,113.22,37.4633,126.44
PEK,China,DUS,Germany,Airbus A330-200,201,40.0725,116.598,51.2895,6.76678
DOH,Qatar,ICN,South Korea,Boeing B777-300ER,201,25.2731,51.6081,37.4633,126.44
DAD,Vietnam,ICN,South Korea,Airbus A330-300,200,16.0439,108.199,37.4633,126.44
SHJ,United Arab Emirates,FRA,Germany,Boeing MD-11F,200,25.3286,55.5172,50.0333,8.57056
ICN,South Korea,DAD,Vietnam,Airbus A330-300,200,37.4633,126.44,16.0439,108.199
DOH,Qatar,LHR,United Kingdom,Airbus A330-200,200,25.2731,51.6081,51.4775,-0.461389
ICN,South Korea,TPE,Taiwan,Boeing B777-200ER,199,37.4633,126.44,25.0777,121.233
SGN,Vietnam,FRA,Germany,Boeing B777-200ER,197,10.8188,106.652,50.0333,8.57056
OKA,Japan,TPE,Taiwan,Airbus A330-300,197,26.1958,127.646,25.0777,121.233
TPE,Taiwan,OKA,Japan,Airbus A330-300,197,25.0777,121.233,26.1958,127.646
ICN,South Korea,KIX,Japan,Boeing B767-300,196,37.4633,126.44,34.4305,135.23
BKK,Thailand,ICN,South Korea,Boeing B777-300ER,196,13.6811,100.747,37.4633,126.44
RUH,Saudi Arabia,CDG,France,Airbus A330-200,196,24.9576,46.6988,49.0097,2.54778
PEK,China,ARN,Sweden,Airbus A330-300,196,40.0725,116.598,59.6519,17.9186
SHE,China,ICN,South Korea,Boeing B747-400,196,41.6398,123.483,37.4633,126.44
ICN,South Korea,SHE,China,Boeing B747-400,195,37.4633,126.44,41.6398,123.483
BKK,Thailand,PEK,China,Boeing B777-200/200ER,195,13.6811,100.747,40.0725,116.598
KIX,Japan,ICN,South Korea,Boeing B767-300,195,34.4305,135.23,37.4633,126.44
TPE,Taiwan,ICN,South Korea,Boeing B777-300,194,25.0777,121.233,37.4633,126.44
ICN,South Korea,TPE,Taiwan,Boeing B777-300,194,37.4633,126.44,25.0777,121.233
PVG,China,CDG,France,Airbus A380-800,194,31.1434,121.805,49.0097,2.54778
PEK,China,BKK,Thailand,Boeing B777-200/200ER,194,40.0725,116.598,13.6811,100.747
AUH,United Arab Emirates,DEL,India,Airbus A330-200,193,24.433,54.6511,28.5665,77.1031
DEL,India,AUH,United Arab Emirates,Airbus A330-200,193,28.5665,77.1031,24.433,54.6511
BKK,Thailand,AUH,United Arab Emirates,Boeing B747-400F,193,13.6811,100.747,24.433,54.6511
COK,India,DOH,Qatar,Airbus A330-300,193,10.152,76.4019,25.2731,51.6081
DOH,Qatar,COK,India,Airbus A330-300,192,25.2731,51.6081,10.152,76.4019
ICN,South Korea,DMK,Thailand,Airbus A330-Unspecified,191,37.4633,126.44,13.9126,100.607
JED,Saudi Arabia,DOH,Qatar,Boeing B777-300ER,191,21.6796,39.1565,25.2731,51.6081
DOH,Qatar,JED,Saudi Arabia,Boeing B777-300ER,191,25.2731,51.6081,21.6796,39.1565
KMQ,Japan,ICN,South Korea,Boeing B747-400F,191,36.3946,136.407,37.4633,126.44
DOH,Qatar,ICN,South Korea,Boeing B777-200LRF,191,25.2731,51.6081,37.4633,126.44
XMN,China,NRT,Japan,Boeing B767F-Unspecified,191,24.544,118.128,35.7653,140.386
